X,Y,LONGITUDE,LATITUDE,AR_LIVRE,BOUGUER,h
5422860.26506863,6805983.92870813,-49.6679,-28.7929,-57.96406937,-63.94256831,55.84
5306163.88495659,6809071.09947913,-50.8636,-28.7981,19.38269874,-73.82532049,839.3
5454707.83972427,6805358.11116261,-49.3417,-28.7877,-61.6998147,-63.40921671,16.42
5399236.72364672,6806776.08748835,-49.91,-28.7933,-22.9480538,-74.06814041,461.16
5413088.95777018,6806480.28517414,-49.7681,-28.7916,-56.01119985,-67.04643168,101.76
5144176.26129144,6813277.31421808,-52.5233,-28.7885,30.88236137,-46.52293177,699.97
5364746.28710635,6807722.29437269,-50.2634,-28.795,48.38482316,-67.27474437,1039.62
5392885.3199851,6807015.03028864,-49.9751,-28.7931,62.78218434,-69.75298093,1189.29
5389489.27120289,6807118.37085871,-50.0099,-28.7932,65.07399855,-67.73308589,1191.97
5329269.98585504,6808660.68987534,-50.6269,-28.7961,14.04064319,-73.14375531,785.38
5466097.66344358,6805262.24612618,-49.2251,-28.7845,-51.02826431,-51.87373011,8.59
5393417.49490341,6807152.55610206,-49.9697,-28.7917,62.77630762,-69.72525737,1188.96
5392081.05390269,6807208.88373669,-49.9834,-28.7916,57.24979616,-67.92119768,1123.55
5443376.36812239,6805940.99180774,-49.4579,-28.7864,-65.78040592,-67.44278216,16.32
5383866.35023888,6807527.87279343,-50.0676,-28.7912,67.13778637,-62.53493583,1164.32
5397297.75635729,6807209.29116278,-49.93,-28.79,24.00028985,-75.5164755,893.87
5370153.51544772,6807895.45634171,-50.2081,-28.7919,50.64890057,-64.93003175,1038.84
5455381.52517672,6805843.22759832,-49.335,-28.7831,-60.74745124,-63.11025136,22.25
5377489.56029781,6807892.50205646,-50.133,-28.7898,63.48648941,-62.68932764,1133.37
5347841.06996827,6808774.22002475,-50.4368,-28.7902,-3.193230399,-74.15759605,640.3
5323646.84940536,6809451.63795071,-50.6847,-28.7904,9.675824687,-73.09399527,745.97
5353211.60988728,6809034.08313476,-50.3819,-28.7864,35.21885713,-72.16104411,965.76
5452795.09626715,6806576.04843714,-49.36176111,-28.77741944,-61.91862786,-63.21378259,12.77
5391526.62689645,6808149.76857078,-49.9894,-28.7833,59.56471555,-68.40807681,1148.66
5457017.16534032,6806518.77173341,-49.31853333,-28.77644722,-59.71536418,-61.99298064,21.47
5449817.73008605,6806831.36384448,-49.39233056,-28.77616389,-57.08135484,-66.4858764,85.32
5178359.72002995,6813711.9913334,-52.1733,-28.7803,43.43527053,-40.47347654,757.59
5233365.54237471,6812338.0172106,-51.6098,-28.7839,20.19399586,-52.68820122,658.16
5233307.19231796,6812350.28219778,-51.6104,-28.7838,20.41564732,-52.49340363,658.4
5283186.6624011,6811130.3568613,-51.0994,-28.7848,27.68628366,-64.01975052,825.99
5396359.83281449,6808352.47004248,-49.94,-28.78,34.84981436,-80.0194184,1031.2
5465413.95729432,6806727.78256023,-49.23269722,-28.77156944,-49.66247957,-54.49355307,44.21
